#{"t_start": 1748654011.4573238, "env_id": "None"}
r,l,t
-50.0,2,1677.345211
-35.0,2,1680.487692
-50.0,2,1682.409758
-32.0,1,1682.409823
-32.0,1,1684.169771
-50.0,1,1684.169835
-50.0,1,1685.975554
-50.0,1,1687.081128
-38.0,2,1687.081187
-47.0,2,1691.768549
-44.0,2,1691.76861
-50.0,1,1692.896564
-50.0,1,1692.896628
-50.0,1,1694.642868
-32.0,1,1696.509712
-38.0,2,1696.509777
-50.0,1,1698.959418
-50.0,1,1700.08922
-47.0,2,1700.089282
-50.0,1,1703.1909
-38.0,1,1706.483683
-50.0,2,1706.483746
-50.0,1,1709.531754
-50.0,2,1712.067783
-47.0,2,1715.317452
-50.0,2,1718.483818
-50.0,2,1721.900109
-50.0,2,1724.636014
-35.0,2,1726.513211
-50.0,1,1726.513268
-32.0,1,1731.647231
-5.0,1,1731.647301
-50.0,1,1732.867146
-50.0,1,1732.867206
-50.0,1,1734.804178
-44.0,2,1735.858677
-50.0,1,1735.858734
-50.0,1,1737.607698
-38.0,2,1739.708478
-44.0,2,1741.942363
-35.0,2,1745.736615
-50.0,2,1747.976978
-44.0,2,1750.318214
-47.0,2,1753.056534
-50.0,1,1754.944567
-44.0,2,1754.944672
-50.0,1,1757.221203
-44.0,2,1759.787855
-32.0,1,1761.525814
-47.0,2,1761.52587
-50.0,1,1763.886655
-47.0,2,1766.346352
-47.0,2,1768.749685
-50.0,1,1769.956606
-47.0,2,1769.956668
-32.0,1,1772.529639
-50.0,1,1773.581998
-44.0,2,1773.58206
-38.0,2,1777.568359
-44.0,2,1777.568429
-32.0,1,1780.098583
-32.0,1,1780.098643
-50.0,1,1781.225009
-50.0,1,1781.225075
-44.0,2,1785.206121
-38.0,2,1785.206191
-50.0,1,1787.021949
-38.0,2,1789.854961
-47.0,2,1795.003758
-47.0,2,1798.123562
-35.0,1,1798.123639
-35.0,1,1801.222584
-50.0,1,1801.222643
-32.0,1,1803.882519
-50.0,1,1804.924053
-41.0,2,1804.924111
-50.0,1,1807.246936
-32.0,1,1807.247048
-50.0,1,1809.59554
-44.0,2,1811.523694
-32.0,1,1813.220945
-44.0,2,1813.221003
-50.0,1,1815.083873
-50.0,1,1816.704534
-38.0,2,1816.704591
-50.0,1,1820.259487
-50.0,2,1823.410004
-50.0,2,1826.012915
-32.0,1,1827.783378
-47.0,2,1827.783436
-50.0,1,1828.904629
-50.0,1,1828.904687
-50.0,1,1831.745354
-50.0,1,1832.853524
-50.0,2,1832.85358
-32.0,1,1835.626801
-44.0,2,1836.756359
-50.0,1,1836.756419
-50.0,1,1837.920394
-50.0,1,1837.920452
-50.0,1,1840.290496
-32.0,1,1842.235708
-44.0,2,1842.235765
-50.0,1,1843.447214
-50.0,1,1843.447274
-50.0,1,1845.520096
-35.0,1,1845.520157
-50.0,1,1848.350381
-50.0,2,1850.515556
-44.0,2,1853.012869
-47.0,2,1854.17089
-50.0,1,1854.170951
-50.0,1,1856.066312
-35.0,1,1858.193954
-38.0,2,1858.194011
-50.0,1,1860.348867
-44.0,2,1862.85931
-47.0,2,1864.158754
-50.0,1,1864.158811
-32.0,1,1865.965508
-50.0,1,1865.965575
-50.0,1,1868.399931
-47.0,2,1871.48593
-50.0,2,1873.115662
-32.0,1,1873.115721
-50.0,1,1876.867817
-41.0,2,1880.092381
-29.0,1,1882.053654
-44.0,2,1882.053713
-50.0,1,1884.247515
-44.0,2,1886.338122
-44.0,2,1887.599792
-50.0,1,1887.599862
-50.0,1,1888.918756
-50.0,1,1888.918822
-32.0,1,1892.002924
-50.0,1,1893.201499
-47.0,2,1893.201561
-32.0,1,1895.54209
-35.0,2,1896.661983
-50.0,1,1896.662038
-50.0,1,1899.104741
-47.0,2,1901.538244
-47.0,2,1903.328544
-32.0,1,1903.328602
-50.0,1,1904.428117
-50.0,1,1904.428175
-32.0,1,1907.162398
-41.0,2,1908.246006
-50.0,1,1908.246062
-32.0,1,1910.882991
-50.0,1,1912.052798
-44.0,2,1912.052858
-50.0,1,1914.282558
-44.0,2,1915.401136
-50.0,1,1915.4012
-32.0,1,1918.073428
-50.0,1,1919.236658
-44.0,2,1919.236737
-32.0,1,1922.496672
-50.0,1,1923.745632
-47.0,2,1923.745688
-50.0,1,1926.574471
-50.0,2,1928.669614
-44.0,2,1931.691534
-50.0,2,1933.818476
-50.0,1,1934.827008
-44.0,2,1934.827064
-50.0,1,1936.785676
-44.0,2,1939.182735
-50.0,1,1940.313071
-47.0,2,1940.313133
-32.0,1,1942.004366
-50.0,1,1942.004429
-50.0,1,1944.476313
-32.0,1,1946.236464
-47.0,2,1946.236523
-50.0,1,1949.248126
-32.0,1,1950.921769
-50.0,2,1950.92183
-50.0,1,1952.326063
-50.0,1,1952.326115
-47.0,2,1956.863435
-35.0,2,1956.863493
-50.0,1,1959.817585
-50.0,2,1962.011746
-44.0,2,1964.390349
-50.0,1,1965.541012
-47.0,2,1965.541069
-32.0,1,1967.3477
-50.0,1,1967.347761
-50.0,1,1969.083417
-32.0,1,1969.083477
-32.0,1,1970.777623
-50.0,1,1970.777682
-50.0,1,1972.456845
-32.0,1,1972.456903
-50.0,1,1974.719935
-41.0,2,1975.76838
-50.0,1,1975.768442
-32.0,1,1978.055751
-41.0,2,1979.167322
-50.0,1,1979.167387
-50.0,1,1980.300287
-50.0,1,1980.300345
-50.0,1,1982.568145
-50.0,1,1983.706553
-44.0,2,1983.706612
-50.0,1,1985.432158
-35.0,2,1988.38457
-44.0,2,1991.064567
-44.0,2,1992.204442
-50.0,1,1992.204496
-50.0,1,1993.341451
-50.0,1,1993.34151
-50.0,1,1995.308412
-44.0,2,1997.269544
-50.0,1,1998.404079
-44.0,2,1998.404147
-29.0,1,2001.03589
-44.0,2,2002.340835
-50.0,1,2002.3409
-50.0,1,2004.933929
-47.0,2,2006.648605
-32.0,1,2006.648661
-50.0,1,2007.806361
-50.0,1,2007.806419
-32.0,1,2009.723517
-50.0,1,2009.723574
-50.0,1,2012.269322
-47.0,2,2014.086641
-38.0,2,2015.968758
-32.0,1,2015.968817
-50.0,1,2018.013573
-44.0,2,2020.316648
-44.0,2,2025.051086
-47.0,2,2030.950191
-38.0,1,2034.361028
-47.0,2,2034.361162
-44.0,2,2042.093413
-47.0,2,2042.093468
-35.0,1,2045.212561
-41.0,2,2046.286556
-50.0,1,2046.286614
-50.0,1,2048.042432
-38.0,2,2050.050727
-44.0,2,2052.9954
-50.0,1,2054.062436
-50.0,2,2054.062491
-50.0,1,2055.758754
-35.0,2,2056.784288
-50.0,1,2056.784347
-50.0,1,2057.924583
-50.0,1,2057.924645
-50.0,1,2060.377406
-50.0,1,2061.509801
-47.0,2,2061.50986
-47.0,2,2067.129963
-47.0,2,2067.130024
-35.0,2,2070.983347
-41.0,2,2070.983405
-50.0,1,2074.07489
-50.0,2,2076.33142
-44.0,2,2079.345771
-50.0,2,2080.496059
-50.0,1,2080.496129
-50.0,1,2082.920201
-47.0,2,2085.011176
-50.0,1,2086.04121
-44.0,2,2086.041266
-50.0,1,2087.156568
-50.0,1,2087.156627
-35.0,1,2090.911817
-50.0,2,2091.99173
-50.0,1,2091.991787
-32.0,1,2094.915291
-47.0,2,2096.050604
-50.0,1,2096.050663
-47.0,2,2100.625028
-44.0,2,2100.625088
-50.0,1,2102.523839
-32.0,1,2102.523896
-50.0,1,2103.673369
-50.0,1,2103.673428
-50.0,1,2104.815408
-50.0,1,2104.815469
-50.0,1,2105.972915
-50.0,1,2105.972972
-50.0,1,2108.439084
-47.0,2,2111.460715
-50.0,2,2113.610114
-41.0,2,2115.189667
