#{"t_start": 1748716358.5233672, "env_id": "None"}
r,l,t
-100.0,1,2922.311285
-100.0,1,2929.330396
-100.0,1,2929.330457
-100.0,1,2934.00845
-100.0,1,2934.008518
-102.5,1,2939.485462
-100.0,1,2939.485526
-100.0,1,2946.389849
-100.0,1,2950.593597
-110.0,2,2950.593657
-100.0,1,2958.532799
-100.0,1,2965.241119
-110.0,2,2965.241184
-100.0,1,2975.891164
-110.0,2,2981.801883
-100.0,1,2981.801975
-102.5,1,2989.026558
-100.0,1,2989.026622
-100.0,1,2998.717074
-110.0,2,3009.228117
-110.0,2,3020.510689
-110.0,2,3028.954213
-105.0,1,3028.954341
-100.0,1,3039.498665
-100.0,1,3044.949656
-110.0,2,3044.949716
-100.0,1,3050.767061
-100.0,1,3050.767117
-105.0,1,3059.523128
-100.0,1,3059.523196
-100.0,1,3065.556159
-100.0,1,3065.55625
-100.0,1,3075.358401
-110.0,2,3086.162968
-110.0,2,3091.632723
-100.0,1,3091.632795
-100.0,1,3103.093288
-110.0,2,3113.391609
-100.0,1,3122.070902
-110.0,2,3122.070978
-100.0,1,3130.254974
-100.0,1,3130.255134
-105.0,1,3138.548307
-100.0,1,3138.54838
-100.0,1,3147.053562
-110.0,2,3153.471282
-100.0,1,3153.47135
-110.0,2,3175.541953
-110.0,2,3175.542019
-105.0,1,3188.215287
-110.0,2,3194.625831
-100.0,1,3194.625899
-100.0,1,3206.073446
-110.0,2,3211.80275
-100.0,1,3211.802818
-105.0,1,3222.649822
-110.0,2,3231.132228
-110.0,2,3240.962515
-105.0,1,3240.962589
-110.0,2,3261.076136
-110.0,2,3261.07625
-102.5,1,3272.700841
-110.0,2,3283.33247
-100.0,1,3288.410909
-110.0,2,3288.410974
-100.0,1,3298.19184
-110.0,2,3308.603578
-110.0,2,3314.50423
-100.0,1,3314.504297
-100.0,1,3320.624632
-100.0,1,3320.624727
-102.5,1,3329.096595
-100.0,1,3329.09666
-100.0,1,3338.420835
-110.0,2,3343.346841
-100.0,1,3343.346895
-100.0,1,3349.420728
-100.0,1,3349.420783
-100.0,1,3354.627568
-100.0,1,3354.627641
-100.0,1,3364.130113
-100.0,1,3369.618233
-110.0,2,3369.618292
-100.0,1,3374.579656
-100.0,1,3374.579743
-100.0,1,3380.140826
-100.0,1,3380.140885
-100.0,1,3388.593472
-110.0,2,3393.470569
-100.0,1,3393.470627
-100.0,1,3403.709477
-110.0,2,3408.70692
-100.0,1,3408.706979
-100.0,1,3414.131042
-100.0,1,3414.131168
-100.0,1,3420.917039
-102.5,1,3420.917128
-100.0,1,3426.609289
-100.0,1,3426.609377
-100.0,1,3436.242671
-110.0,2,3441.720195
-100.0,1,3441.72025
-110.0,2,3460.498042
-110.0,2,3460.498098
-102.5,1,3469.236942
-110.0,2,3477.041617
-110.0,2,3484.724683
-110.0,2,3491.249312
-110.0,2,3498.637429
-110.0,2,3505.426155
-102.5,1,3510.187781
-110.0,2,3510.187841
-100.0,1,3516.907423
-100.0,1,3520.864674
-110.0,2,3520.864732
-100.0,1,3526.911836
-105.0,1,3526.911903
-100.0,1,3533.254887
-100.0,1,3536.967264
-110.0,2,3536.967326
-110.0,2,3548.829661
-110.0,2,3548.82972
-100.0,1,3552.70375
-100.0,1,3552.703807
-100.0,1,3556.574146
-100.0,1,3556.574204
-100.0,1,3563.264193
-110.0,2,3567.042237
-100.0,1,3567.042295
-110.0,2,3580.130556
-110.0,2,3580.130617
-100.0,1,3587.290689
-100.0,1,3591.269614
-110.0,2,3591.269703
-100.0,1,3595.109869
-100.0,1,3595.109932
-100.0,1,3601.262003
-47.5,1,3609.453348
-110.0,2,3609.45341
-100.0,1,3613.881754
-100.0,1,3613.881816
-100.0,1,3621.157799
-110.0,2,3629.939061
-110.0,2,3640.322165
-110.0,2,3649.300901
-105.0,1,3649.30096
-100.0,1,3657.363363
-100.0,1,3662.197625
-110.0,2,3662.197716
-102.5,1,3667.615329
-100.0,1,3667.615388
-100.0,1,3674.914243
-110.0,2,3683.429356
-110.0,2,3691.488281
-110.0,2,3699.3418
-100.0,1,3703.530071
-110.0,2,3703.53013
-102.5,1,3709.070855
-100.0,1,3709.070916
-102.5,1,3715.893045
-100.0,1,3715.893139
-100.0,1,3724.210259
-110.0,2,3728.958025
-100.0,1,3728.95808
-100.0,1,3734.906143
-102.5,1,3734.906204
-100.0,1,3742.035625
-100.0,1,3747.493185
-110.0,2,3747.493246
-100.0,1,3752.644469
-100.0,1,3752.644533
-100.0,1,3759.211164
-102.5,1,3759.211287
-100.0,1,3767.641497
-110.0,2,3773.61398
-100.0,1,3773.614086
-100.0,1,3779.287605
-100.0,1,3779.287675
-100.0,1,3785.076765
-100.0,1,3785.076855
-100.0,1,3791.453507
-100.0,1,3791.453583
-100.0,1,3799.143636
-102.5,1,3799.143708
-100.0,1,3805.293245
-100.0,1,3805.293309
-100.0,1,3811.636369
-100.0,1,3811.636446
-100.0,1,3821.544506
-100.0,1,3827.224855
-110.0,2,3827.224935
-100.0,1,3835.372517
-110.0,2,3840.688281
-100.0,1,3840.688344
-100.0,1,3846.46323
-100.0,1,3846.463302
-100.0,1,3851.750892
-100.0,1,3851.750965
-100.0,1,3860.280335
-100.0,1,3865.257139
-110.0,2,3865.257199
-110.0,2,3881.457582
-110.0,2,3881.457645
-100.0,1,3890.181532
-110.0,2,3898.389352
-102.5,1,3904.54327
-110.0,2,3904.543334
-110.0,2,3921.861649
-110.0,2,3921.861711
-100.0,1,3930.911782
-100.0,1,3935.78281
-110.0,2,3935.782873
-100.0,1,3941.008249
-100.0,1,3941.008311
-100.0,1,3947.799719
-102.5,1,3947.799782
-100.0,1,3956.169554
-100.0,1,3960.971671
-110.0,2,3960.97177
-100.0,1,3970.008494
-110.0,2,3978.24014
-110.0,2,3987.184855
-100.0,1,3992.465452
-110.0,2,3992.465587
-100.0,1,3997.644134
-100.0,1,3997.644201
